treeID,species
09_17165,Pine
12_17261,Pine
02_22016,Pine
04_15350,Pine
01_23094,Pine
07_7318,Pine
10_13347,Pine
09_15463,Pine
13_19444,Pine
12_16206,Pine
04_16326,Pine
04_15621,Pine
04_16152,Pine
13_18742,Pine
09_17805,Pine
07_7744,Pine
11_12156,Pine
04_15672,Pine
03_16284,Pine
04_16749,Pine
11_12187,Pine
11_12954,Pine
11_11684,Pine
09_14978,Pine
03_15546,Pine
11_13128,Pine
62_7950,Pine
03_15151,Pine
04_15529,Pine
10_11254,Pine
04_15571,Pine
01_22344,Pine
09_17233,Pine
09_16436,Pine
62_8916,Pine
04_15711,Pine
09_18886,Pine
14_15898,Pine
11_9743,Pine
04_16236,Pine
02_26960,Spruce
02_20781,Spruce
02_26981,Spruce
02_26905,Spruce
02_26871,Spruce
02_26977,Spruce
02_22398,Spruce
02_20764,Spruce
02_26928,Spruce
02_26927,Spruce
14_11850,Spruce
02_20986,Spruce
02_26889,Spruce
02_20578,Spruce
02_26993,Spruce
02_26936,Spruce
02_26872,Spruce
02_26931,Spruce
63_7232,Spruce
02_26940,Spruce
02_26945,Spruce
02_26966,Spruce
02_26869,Spruce
02_22103,Spruce
02_26986,Spruce
03_17009,Birch
03_16376,Birch
03_14284,Birch
03_15678,Birch
62_7933,Birch
03_17161,Birch
09_13615,Birch
17_9453,Birch
10_8815,Birch
03_14954,Birch
14_10708,Birch
03_15574,Birch
04_16588,Birch
01_22181,Birch
14_11334,Birch
14_14312,Birch
03_15981,Birch
10_8260,Birch
14_10555,Birch
11_10437,Birch
03_14135,Birch
02_20852,Birch
63_7087,Birch
02_20984,Birch
64_6621,Birch
06_11520,Lime
06_11648,Lime
06_11919,Lime
13_21059,Lime
13_21280,Lime
13_21443,Lime
13_21959,Lime
62_10115,Lime
62_9686,Lime
